Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Terrance Williams,4100,Dal@Was 08:30PM ET,9.1,Dal
TE,Julius Thomas,4000,Jax@Ten 01:00PM ET,11.186,Jac
WR,Rishard Matthews,4000,Bal@Mia 01:00PM ET,12.691,Mia
WR,Marquess Wilson,4000,SF@Chi 01:00PM ET,7.582,Chi
DST,Cardinals ,3900,Ari@StL 01:00PM ET,9.273,Ari
WR,Rueben Randle,3900,NYJ@NYG 01:00PM ET,10.736,NYG
WR,Nate Washington,3800,Hou@Buf 01:00PM ET,11.878,Hou
WR,Doug Baldwin,3800,Sea@Min 01:00PM ET,14.582,Sea
WR,Michael Floyd,3800,Ari@StL 01:00PM ET,10.86,Ari
WR,Marvin Jones,3800,Cin@Cle 01:00PM ET,10.664,Cin
RB,Carlos Hyde,3800,SF@Chi 01:00PM ET,12.043,SF
RB,Duke Johnson,3800,Cin@Cle 01:00PM ET,10.782,Cle
RB,Matt Jones,3800,Dal@Was 08:30PM ET,10.28,Was
TE,Jacob Tamme,3700,Atl@TB 01:00PM ET,10.45,Atl
RB,Alfred Morris,3700,Dal@Was 08:30PM ET,6.064,Was
TE,Kyle Rudolph,3700,Sea@Min 01:00PM ET,8.827,Min
WR,Devin Funchess,3700,Car@NO 04:25PM ET,5.318,Car
DST,Seahawks ,3600,Sea@Min 01:00PM ET,10.455,Sea
WR,Ted Ginn,3600,Car@NO 04:25PM ET,9.455,Car
WR,Malcom Floyd,3600,Den@SD 04:05PM ET,8.21,SD
RB,Ahmad Bradshaw,3600,Ind@Pit 08:30PM ET,7.15,Ind
RB,Rashad Jennings,3600,NYJ@NYG 01:00PM ET,8.409,NYG
TE,Martellus Bennett,3600,SF@Chi 01:00PM ET,11.05,Chi
WR,Kenny Britt,3600,Ari@StL 01:00PM ET,6.673,StL
WR,Leonard Hankerson,3600,Atl@TB 01:00PM ET,9.963,Atl
WR,Cole Beasley,3600,Dal@Was 08:30PM ET,8.836,Dal
WR,Markus Wheaton,3600,Ind@Pit 08:30PM ET,8.127,Pit
RB,Kyle Juszczyk,3600,Bal@Mia 01:00PM ET,5.7,Bal
TE,Crockett Gillmore,3600,Bal@Mia 01:00PM ET,11.056,Bal
WR,Cecil Shorts,3600,Hou@Buf 01:00PM ET,11.605,Hou
RB,Antonio Andrews,3600,Jax@Ten 01:00PM ET,8.644,Ten
RB,Karlos Williams,3600,Hou@Buf 01:00PM ET,12.35,Buf
WR,Seth Roberts,3600,KC@Oak 04:05PM ET,7.564,Oak
DST,Panthers ,3500,Car@NO 04:25PM ET,11.273,Car
WR,Harry Douglas,3500,Jax@Ten 01:00PM ET,6.211,Ten
TE,Charles Clay,3500,Hou@Buf 01:00PM ET,9.664,Buf
RB,Andre Ellington,3500,Ari@StL 01:00PM ET,8.538,Ari
RB,Knile Davis,3500,KC@Oak 04:05PM ET,1.733,KC
RB,Charles Sims,3500,Atl@TB 01:00PM ET,10.009,TB
RB,Terron Ward,3500,Atl@TB 01:00PM ET,2.764,Atl
WR,Jamison Crowder,3500,Dal@Was 08:30PM ET,8.645,Was
RB,C.J. Anderson,3500,Den@SD 04:05PM ET,10.073,Den
DST,Bengals ,3400,Cin@Cle 01:00PM ET,8.455,Cin
DST,Broncos ,3400,Den@SD 04:05PM ET,12,Den
DST,Patriots ,3400,Phi@NE 04:25PM ET,7.909,NE
RB,Darren Sproles,3400,Phi@NE 04:25PM ET,8.782,Phi
WR,Brian Hartline,3400,Cin@Cle 01:00PM ET,7.53,Cle
WR,Jermaine Kearse,3400,Sea@Min 01:00PM ET,8.173,Sea
WR,Chris Givens,3400,Bal@Mia 01:00PM ET,4.43,Bal
RB,David Johnson,3400,Ari@StL 01:00PM ET,9.455,Ari
WR,Devin Smith,3400,NYJ@NYG 01:00PM ET,3.188,NYJ
RB,Melvin Gordon,3400,Den@SD 04:05PM ET,8.182,SD
TE,Heath Miller,3300,Ind@Pit 08:30PM ET,8.091,Pit
WR,Andre Johnson,3300,Ind@Pit 08:30PM ET,6.936,Ind
WR,Andrew Hawkins,3300,Cin@Cle 01:00PM ET,6.95,Cle
RB,Marcel Reece,3300,KC@Oak 04:05PM ET,5.818,Oak
WR,Mike Wallace,3300,Sea@Min 01:00PM ET,6.036,Min
WR,Robert Woods,3300,Hou@Buf 01:00PM ET,7.755,Buf
RB,James White,3300,Phi@NE 04:25PM ET,4.111,NE
RB,David Cobb,3300,Jax@Ten 01:00PM ET,0.25,Ten
WR,DeVante Parker,3300,Bal@Mia 01:00PM ET,2.69,Mia
WR,Dorial Green-Beckham,3300,Jax@Ten 01:00PM ET,4.936,Ten
WR,Marques Colston,3200,Car@NO 04:25PM ET,8.81,NO
WR,Roddy White,3200,Atl@TB 01:00PM ET,5.855,Atl
WR,Jerricho Cotchery,3200,Car@NO 04:25PM ET,6.956,Car
WR,Dwayne Harris,3200,NYJ@NYG 01:00PM ET,8.309,NYG
WR,Dontrelle Inman,3200,Den@SD 04:05PM ET,5.96,SD
WR,Torrey Smith,3200,SF@Chi 01:00PM ET,7.573,SF
RB,Ryan Mathews,3200,Phi@NE 04:25PM ET,11.733,Phi
RB,Chris Polk,3200,Hou@Buf 01:00PM ET,4.65,Hou
WR,Marlon Brown,3200,Bal@Mia 01:00PM ET,2.52,Bal
WR,Kenny Stills,3200,Bal@Mia 01:00PM ET,6.027,Mia
WR,Josh Huff,3200,Phi@NE 04:25PM ET,6.04,Phi
RB,Isaiah Crowell,3200,Cin@Cle 01:00PM ET,6.9,Cle
WR,Nelson Agholor,3200,Phi@NE 04:25PM ET,3.913,Phi
